Element,Start Time,End Time
He,2023-06-22 08:00:00.040317,2023-06-25 23:00:00.139681
He,2023-06-26 05:00:00.092162,2023-06-29 05:00:00.152641
He,2023-07-10 04:59:59.953920,2023-07-12 15:00:00.125276
He,2023-07-13 05:59:59.848797,2023-07-20 14:00:00.031677
He,2023-07-22 13:59:59.966883,2023-07-30 21:00:00.125282
He,2023-07-31 11:59:59.848803,2023-08-02 01:00:00.028801
He,2023-08-02 08:59:59.965442,2023-08-10 20:59:59.926560
He,2023-08-11 02:59:59.879041,2023-08-13 15:59:59.868957
He,2023-08-14 02:59:59.939520,2023-08-17 01:00:00.015839
He,2023-08-17 01:59:59.850237,2023-08-21 02:59:59.870403
He,2023-08-21 17:00:00.074882,2023-08-27 18:59:59.864637
He,2023-08-29 21:00:00.099359,2023-09-02 09:59:59.899198
He,2023-09-02 22:59:59.953922,2023-09-07 18:59:59.981279
He,2023-09-07 22:59:59.949600,2023-09-18 15:59:59.963999
He,2023-09-19 12:59:59.955357,2023-09-25 07:59:59.958240
He,2023-09-26 04:59:59.949598,2023-09-27 22:59:59.932322
He,2023-09-28 06:59:59.868957,2023-09-29 16:00:00.080641
He,2023-10-04 22:59:59.863198,2023-10-06 06:00:00.090722
He,2023-10-09 10:00:00.119521,2023-10-10 22:00:00.149757
He,2023-10-12 22:59:59.919361,2023-10-15 22:59:59.979840
He,2023-10-19 14:00:00.079196,2023-10-22 11:00:00.005760
He,2023-10-29 08:00:00.118077,2023-11-05 21:59:59.938081
He,2023-11-07 17:59:59.904959,2023-11-08 20:00:00.014400
He,2023-11-09 11:59:59.887683,2023-11-11 12:59:59.972636
He,2023-11-14 05:00:00.096481,2023-11-16 07:00:00.015839
He,2023-11-23 14:59:59.883363,2023-12-01 22:00:00.041762
He,2023-12-03 06:00:00.103677,2023-12-05 00:00:00.086402
He,2023-12-13 16:59:59.850239,2023-12-17 07:00:00.115197
He,2023-12-20 04:59:59.876159,2023-12-23 08:59:59.904959
He,2023-12-25 04:59:59.871836,2023-12-29 11:59:59.844483
He,2023-12-31 03:00:00.008641,2024-01-04 11:46:13.722238
He,2024-01-08 18:29:20.758557,2024-01-13 08:11:18.833278
He,2024-01-13 19:09:30.420001,2024-01-18 01:52:37.456320
He,2024-01-20 10:43:16.767842,2024-01-23 06:32:07.981436
He,2024-01-26 14:19:00.839996,2024-01-30 01:05:24.504000
He,2024-02-01 09:56:03.815522,2024-02-04 08:44:25.519197
He,2024-02-04 19:42:37.421278,2024-02-11 16:15:34.375681
He,2024-02-12 02:13:56.219520,2024-02-15 05:01:38.471517
He,2024-02-19 09:45:04.760640,2024-02-25 10:21:18.658078
He,2024-02-25 20:19:40.186560,2024-03-01 07:02:07.771201
He,2024-03-01 15:00:49.183201,2024-03-04 21:47:51.983520
He,2024-03-10 16:25:04.900797,2024-03-13 01:15:44.212318
He,2024-03-14 23:08:11.937123,2024-03-18 13:53:56.149442
He,2024-03-19 06:51:08.716319,2024-03-21 05:43:26.499358
He,2024-03-21 14:41:57.969599,2024-03-25 01:28:21.633596
N,2017-07-14 05:59:59.974078,2017-07-16 03:00:00.090717
N,2017-07-25 16:00:00.011522,2017-07-31 20:00:00.100801
N,2017-09-04 20:59:59.904960,2017-09-08 10:59:59.854562
N,2017-09-09 18:59:59.916477,2017-09-12 20:59:59.961116
N,2017-09-13 02:59:59.913597,2017-09-14 16:59:59.928001
N,2017-09-15 17:59:59.887680,2017-09-19 18:59:59.907838
N,2020-11-29 08:04:55.204316,2020-12-04 02:46:03.885600
N,2020-12-07 16:31:58.039678,2020-12-08 17:27:52.018563
N,2021-05-28 23:00:00.100802,2021-05-29 11:00:00.005757
N,2021-07-09 21:59:59.851676,2021-07-10 16:59:59.858882
N,2021-10-28 23:59:59.866078,2021-10-31 19:59:59.958237
N,2021-11-02 11:00:00.122402,2021-11-04 01:00:00.136799
N,2022-01-20 08:59:59.943838,2022-01-21 05:00:00.100798
